                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.90905,                  1.147,                 1.0709,                 0.4761,                0.32017,                0.32232,                0.17944,                 1.8332,                 2.7361,                  1.607,             0.00045917,             0.00045917,             0.00045917
                     43,                0.91585,                 1.1122,                 1.0658,                0.32198,                0.30513,                0.29468,                0.17287,                 1.8372,                 2.7912,                 1.6529,             0.00044846,             0.00044846,             0.00044846
                     44,                0.90308,                 1.1291,                 1.1092,                0.36934,                0.55934,                0.33684,                0.19706,                 1.7854,                 2.8111,                 1.6412,             0.00043767,             0.00043767,             0.00043767
                     45,                0.90682,                 1.0833,                 1.0764,                0.44923,                0.52951,                0.34361,                0.20268,                 1.7874,                 2.8603,                 1.6828,              0.0004268,              0.0004268,              0.0004268
                     46,                0.89345,                 1.1161,                 1.0598,                0.40559,                0.46146,                0.34124,                  0.201,                 1.8258,                 2.9237,                  1.675,             0.00041586,             0.00041586,             0.00041586
                     47,                0.83891,                0.99103,                 1.0564,                0.44369,                0.33664,                0.37756,                0.20514,                 1.8684,                 2.7841,                 1.6657,             0.00040487,             0.00040487,             0.00040487
                     48,                0.84162,                 1.0186,                  1.058,                0.46173,                0.37454,                0.40041,                0.21186,                 1.7988,                 2.6301,                 1.6186,             0.00039383,             0.00039383,             0.00039383
                     49,                0.85053,                0.99739,                 1.0486,                0.50385,                0.34645,                0.36728,                0.19648,                 1.7583,                 2.6945,                 1.6067,             0.00038276,             0.00038276,             0.00038276
                     50,                0.84948,                0.99393,                 1.0498,                0.50426,                0.34142,                0.36991,                0.20644,                 1.8057,                  2.771,                 1.6216,             0.00037167,             0.00037167,             0.00037167
                     51,                0.82821,                0.98477,                 1.0419,                0.45116,                0.30729,                0.33033,                0.18717,                 1.8173,                 2.8795,                 1.6573,             0.00036057,             0.00036057,             0.00036057
                     52,                0.82329,                0.98468,                  1.026,                 0.5132,                0.33076,                0.33619,                0.19117,                 1.7388,                 2.8042,                 1.5897,             0.00034947,             0.00034947,             0.00034947
                     53,                 0.7995,                0.94651,                 1.0297,                0.53487,                0.57454,                0.40694,                0.22045,                 1.7384,                 2.7411,                 1.5954,             0.00033838,             0.00033838,             0.00033838
                     54,                0.78852,                 0.9438,                 1.0082,                0.51937,                0.61515,                0.43554,                0.24538,                 1.7552,                 2.6516,                 1.6121,             0.00032731,             0.00032731,             0.00032731
                     55,                0.77746,                0.89968,                 1.0217,                0.56347,                0.59785,                0.48219,                0.27277,                 1.7624,                 2.6048,                 1.6044,             0.00031627,             0.00031627,             0.00031627
                     56,                0.79169,                0.92867,                 1.0227,                 0.5554,                0.60641,                0.46653,                0.27624,                 1.7525,                 2.7027,                 1.5994,             0.00030528,             0.00030528,             0.00030528
